"site","Position","n_peaks","shannon","NOSC_med","NOSC_iqr","NOSC_mean","NOSC_p10","NOSC_p90","NOSC_range90","DBE_med","DBE_mean","DBE_iqr","AI_med","AI_iqr","delG_med","delG_iqr","lambda_med","lambda_iqr","Cnum_med","Cnum_iqr","frac_NOSC_pos","frac_NOSC_low","frac_AI_high","DBE_C_ratio_mean","frac_ConHC","frac_Lipid","frac_AminoSugar","frac_Protein","frac_Tannin","frac_UnsatHC","frac_Lignin","frac_Carb","frac_Other","ratio_Protein_Lignin","ratio_Lipid_Carb","ratio_UnsatHC_ConHC","npoc","biomass","respC","ssa_tot","clay","silt","fine","med","coarse"
"0018","M",1989,7.59538727885397,-0.727272727,0.785714285,-0.622717844277024,-1.3376344084,0.235294118,1.5729285264,5,6.67320261437909,6,0.027027027,0.266666667,-10017.5230237492,5272.03074684174,0.0406097937208957,0.0270330136142276,19,8,0.141779788838612,0.287078934137758,0.0829562594268477,0.330005075744375,0.0623428858722976,0.128707893413776,0.0799396681749623,0.363499245852187,0.0397184514831574,0.0613373554550025,0.215686274509804,0.0276520864756159,0.0211161387631976,1.68531468531469,4.65454545454545,0.983870967741935,0.387028343978959,9.24551266781415,0.00417110886718016,622.5586968,15.2,0,8,11.6,65.2
"0018","U",1816,7.50439155916124,-0.777777778,0.85356849075,-0.686715932492841,-1.428571429,0.166666667,1.595238096,5,6.18612334801762,5,0.037037037,0.260233918,-9882.77302374923,4888.79324684181,0.0410563706392254,0.0270949256763511,18,7,0.122246696035242,0.327092511013216,0.0820484581497797,0.31817375747848,0.0594713656387665,0.173458149779736,0.0671806167400881,0.338105726872247,0.0258810572687225,0.0484581497797357,0.24284140969163,0.0209251101321586,0.0236784140969163,1.39229024943311,8.28947368421053,0.814814814814815,0.397964990281284,8.9532763366673,0.0248728118925803,505.9869696,10.6,0,21.3,16,52.1
"0019","D",2336,7.75619534394812,-0.72,0.816666667,-0.618105050210188,-1.375,0.307692308,1.682692308,5,6.45291095890411,5,0.022222222,0.3,-9681.719180394,5544.68170768062,0.0422129408314379,0.0309345222725148,18,9,0.154109589041096,0.279109589041096,0.0941780821917808,0.330076395265264,0.0637842465753425,0.133561643835616,0.0826198630136986,0.355736301369863,0.0483732876712329,0.0654965753424658,0.205907534246575,0.0273972602739726,0.0171232876712329,1.72765072765073,4.875,1.02684563758389,0.211986865042364,9.62634036737504,0.0114594714091701,495.0333546,11.8,0,9.1,29.1,50
"0019","M",2321,7.74975340627444,-0.631578947,0.928888889,-0.534832123303318,-1.333333333,0.421052632,1.754385965,5,6.53597587246876,6,0.052631579,0.333333333,-9316.28071045967,4910.01921677606,0.045343375347394,0.0300030702182772,18,8,0.196897888841017,0.254631624299871,0.106850495476088,0.350662991874778,0.0874623007324429,0.108573890564412,0.0732442912537699,0.345109866436881,0.0573028866867729,0.048255062473072,0.239551917277036,0.027143472641103,0.013356311934511,1.44064748201439,4,0.551724137931034,0.305408788790587,8.18752072083646,0.100277828456909,541.8613293,0,13,11.7,19.5,55.8
"0019","U",2493,7.82124208352356,-0.666666667,0.818181818,-0.560564612933414,-1.304347826,0.315789474,1.6201373,5,6.3971119133574,5,0.037037037,0.28358209,-9412.219180394,5150.88459019703,0.0440314073883771,0.0305588406919029,18,8,0.16325711993582,0.24628961091055,0.0858403529883674,0.339761568997355,0.0597673485760128,0.116325711993582,0.0826313678299238,0.349779382270357,0.0541516245487365,0.0485359005214601,0.2426795026073,0.0328920978740473,0.01323706377858,1.44132231404959,3.53658536585366,0.812080536912752,0.159070108184817,7.73559889969818,0.025800731215098,713.99875875,2.1,9.3,4.9,8.4,75.3
"0020","D",2639,7.87815533650332,-0.5,1.013986014,-0.423580984367185,-1.230769231,0.5,1.730769231,7,7.5081470253884,6,0.130434783,0.365853659,-9789.119180394,4674.67113845369,0.0436920745682699,0.0258346902348254,19,8,0.257673361121637,0.193633952254642,0.121258052292535,0.382004844095218,0.103069344448655,0.0716180371352785,0.070481242895036,0.272830617658204,0.0863963622584312,0.0253884046987495,0.332322849564229,0.0299355816597196,0.00795755968169761,0.820980615735462,2.39240506329114,0.246323529411765,0.127763947933558,9.78103693862113,0.0129160275233379,57.2982696,6.1,2.4,38.3,52.6,0.6
"0020","U",2382,7.77569574991525,-0.615384615,0.857142857,-0.551690688738035,-1.307692308,0.333333333,1.641025641,6,7.24811083123426,5,0.081081081,0.3125,-10056.3345538148,5764.21342445669,0.0415720324676737,0.0289222118028834,19,9,0.180100755667506,0.244752308984047,0.103694374475231,0.353306098315926,0.0688497061293031,0.136859781696054,0.0772460117548279,0.253568429890848,0.0642317380352645,0.0554156171284635,0.290512174643157,0.0419815281276238,0.0113350125944584,0.872832369942197,3.26,0.804878048780488,0.106465953048568,9.87909587950007,0.0325701764260423,62.0506959,5.6,4.2,38.5,50.4,1.3
"0021","M",2350,7.7621706071382,-0.571428571,1.0309503055,-0.504557798208936,-1.333333333,0.421052632,1.754385965,6,6.81659574468085,6,0.101724138,0.333333333,-9505.87302374923,4652.69516851937,0.0442077873608664,0.0278404690403254,18,7,0.228936170212766,0.251063829787234,0.111063829787234,0.3623795887746,0.0880851063829787,0.125106382978723,0.0646808510638298,0.282553191489362,0.0748936170212766,0.0251063829787234,0.302127659574468,0.0263829787234043,0.011063829787234,0.935211267605634,4.74193548387097,0.285024154589372,0.264952536676205,9.69635638873333,0.0661776979152473,18.0926139,0,10.6,89.1,0.2,0.1
"0021","U",2505,7.82604401351896,-0.476190476,1.077647059,-0.432998515468263,-1.3026086956,0.5,1.8026086956,6,7.05389221556886,6,0.12,0.357142857,-9278.61149368356,4463.38843355226,0.0460644247158372,0.0277941819112193,18,7,0.269860279441118,0.215568862275449,0.115768463073852,0.378360064564242,0.0970059880239521,0.0978043912175649,0.063872255489022,0.27624750499002,0.0946107784431138,0.0255489021956088,0.311377245508982,0.0227544910179641,0.0107784431137725,0.887179487179487,4.29824561403509,0.263374485596708,0.233282703520719,9.06445798922692,0.0960093136600347,47.6231202,8.9,0,60.4,29.5,1.2
"0022","D",2793,7.93487156594518,-0.5,1,-0.418993268402435,-1.25,0.5,1.75,7,7.72574292875045,7,0.130434783,0.384615385,-9695.46533703878,4626.77306013134,0.0438926476652219,0.0251614276043554,19,9,0.255281059792338,0.191908342284282,0.13641245972073,0.387745801858117,0.116004296455424,0.0791263873970641,0.0691013247404225,0.274257071249552,0.0805585392051558,0.0361618331543144,0.308270676691729,0.0264948084496957,0.0100250626566416,0.889663182346109,2.98648648648649,0.311728395061728,0.10398985626143,7.96425963019685,0.00162755409424191,530.0844198,1.9,0,4.8,40.5,52.8
"0022","M",2767,7.92551897978693,-0.428571429,1.045811966,-0.369108205526563,-1.222222222,0.545454545,1.767676767,7,8.13516443801952,8,0.166666667,0.411764706,-9694.32302374923,4707.25190348654,0.0440014448227594,0.0254987607399633,19,8,0.288398988073726,0.185760751716661,0.148174918684496,0.405209797224629,0.12721358872425,0.0719190458980846,0.050234911456451,0.270328876039031,0.0903505601734731,0.0415612576797976,0.319840983014095,0.0184315142753885,0.010119262739429,0.845197740112994,3.90196078431373,0.326704545454545,0.0838260566855854,7.65896484266444,0.00189284644128741,131.2016598,4.1,0,6.6,82.9,6.4
"0022","U",2666,7.88833450073865,-0.444444444,0.98464912275,-0.378787056942236,-1.176470588,0.5,1.676470588,7,7.81845461365341,7,0.142857143,0.38697017275,-9693.18071045967,4520.5153734209,0.044295498241195,0.0247424652154809,19,8,0.26669167291823,0.165041260315079,0.13390847711928,0.393481526704374,0.111777944486122,0.0611402850712678,0.0746436609152288,0.265191297824456,0.09039759939985,0.0303825956489122,0.324081020255064,0.0315078769692423,0.0108777194298575,0.818287037037037,1.94047619047619,0.271812080536913,0.100977219460053,8.48995847942484,0.000899797005089583,163.55717475,0,2.5,14,72.9,10.6
"0023","D",2025,7.61332497954064,-0.777777778,0.827067669,-0.701144990871605,-1.4520376178,0.0980952380000007,1.5501328558,5,6.00395061728395,4,0.025641026,0.25,-9963.82302374922,5068.69227690741,0.0404803897813238,0.0274768682255266,18,7,0.10320987654321,0.32,0.0962962962962963,0.314988809622262,0.0720987654320988,0.184691358024691,0.0696296296296296,0.341728395061728,0.022716049382716,0.0345679012345679,0.228148148148148,0.0276543209876543,0.0187654320987654,1.4978354978355,6.67857142857143,0.47945205479452,0.403261294232088,8.82216807936802,0.0669997727598909,268.5344763,1.7,3.4,14.5,57.2,23.2
"0023","M",2329,7.75319426988434,-0.689655172,0.852631579,-0.599336978869901,-1.3376344084,0.222222222,1.5598566304,5,6.61700300558179,6,0.0625,0.3,-9869.02686710445,4892.84612026271,0.0420762108714158,0.0271694019947796,18,8,0.149849720910262,0.26320309145556,0.0948905109489051,0.339359645857791,0.064405324173465,0.124087591240876,0.077286389008158,0.316874194933448,0.0390725633319021,0.0493774151996565,0.279089738085015,0.034349506225848,0.0154572778016316,1.13538461538462,3.6125,0.766666666666667,0.219581519967791,9.27646180417324,0.0541474865315669,157.5711774,3.6,0,16.5,69.7,10.2
"0023","U",1817,7.50494206839617,-0.782608696,0.876190476,-0.66973663890754,-1.454545455,0.185281385200001,1.6398268402,5,6.32746285085305,5,0.047619048,0.282051282,-9937.61533703878,5160.06149368353,0.0409078466892001,0.028663204809335,18,7,0.130985140341222,0.33516785910842,0.0952118877270226,0.326166707181712,0.0643918547055586,0.174463401210787,0.066042927903137,0.329664281783159,0.0242157402311502,0.0533847000550358,0.243808475509081,0.0236653824986241,0.0203632361034673,1.35214446952596,7.37209302325581,0.829059829059829,0.458265152307263,9.34044411484012,0.1734158530688,340.3581948,5.5,0.4,13.2,49.3,31.6
"0025","D",2198,7.69530313496357,-0.740740741,0.827272727,-0.656746025587352,-1.384615385,0.181818182,1.566433567,5,6.51046405823476,5,0.0693664795,0.304347826,-9969.55378878206,4828.54132516419,0.0413116503654229,0.0257002083464296,18,7,0.126478616924477,0.302547770700637,0.1073703366697,0.335051432954906,0.0727934485896269,0.146496815286624,0.0600545950864422,0.334849863512284,0.0268425841674249,0.0454959053685168,0.273885350318471,0.0250227479526843,0.0145586897179254,1.22259136212625,5.85454545454545,0.625,0.383846421766478,9.14921911265538,0.118964637669282,226.4593113,4.7,2.2,16.5,58,18.6
"0025","M",2594,7.86095636487639,-0.7,0.847619048,-0.586635410580956,-1.309549072,0.285714286,1.595263358,5,6.5686198920586,5,0.048809524,0.282051282,-9976.42686710445,5392.74901187463,0.0416251438423389,0.0291172217836215,19,9,0.152274479568234,0.262528912875867,0.0836545875096376,0.335151544737394,0.0555127216653816,0.112567463377024,0.0767154973014649,0.350809560524287,0.0481881264456438,0.046260601387818,0.261757902852737,0.0327679259830378,0.015420200462606,1.34020618556701,3.43529411764706,0.833333333333333,0.154166512628342,9.24797326636181,0.127907616915089,440.3405496,7.8,0,13.1,35.6,43.5
"0025","U",2133,7.66528471847135,-0.736842105,0.864705882,-0.623148207871074,-1.4,0.25,1.65,5,6.55930614158462,5,0.043478261,0.285714286,-9963.82302374922,5068.69227690741,0.0410563706392254,0.0274520642332775,18,7,0.145804031879981,0.29535864978903,0.0970464135021097,0.334868335326177,0.0707923112986404,0.154242850445382,0.0731364275668073,0.3300515705579,0.037037037037037,0.0421940928270042,0.241443975621191,0.029535864978903,0.0215658696671355,1.36699029126214,5.22222222222222,0.596026490066225,0.226548347733669,9.40823996531185,0.0589926981440296,135.3378588,4.2,0,14.5,73.8,7.5
"0026","M",2402,7.78405700263993,-0.555555556,1.086956522,-0.457288101886761,-1.28,0.5,1.78,6,7.4029975020816,7,0.12,0.391304348,-9586.92302374922,4508.81344264773,0.0445526077933955,0.0263312454298017,19,8,0.253122398001665,0.223147377185679,0.144462947543714,0.382290536882431,0.121565362198168,0.0920066611157369,0.0653621981681932,0.302248126561199,0.078684429641965,0.0387177352206495,0.26977518734388,0.0179017485428809,0.0137385512073272,1.12037037037037,5.13953488372093,0.318493150684932,0.188519236467799,8.69108149212297,0.00644870789707625,766.0266984,5.7,0,5.4,0,81.6
"0026","U",2250,7.71868549519847,-0.555555556,1.083333333,-0.459822417854222,-1.3004347826,0.52173913,1.8221739126,6,7.31066666666667,7,0.125,0.37704918,-9410.50571045967,4356.84516851935,0.0451133971120802,0.0266151542969575,18,7,0.251111111111111,0.234666666666667,0.124888888888889,0.37920856416293,0.107555555555556,0.108444444444444,0.0626666666666667,0.288444444444444,0.084,0.0408888888888889,0.276444444444444,0.0168888888888889,0.0146666666666667,1.04340836012862,6.42105263157895,0.380165289256198,0.167157261662562,8.68304703823885,0.0125232559695899,790.9354077,0,7,3.8,5.4,83.8
"0027","D",2538,7.83913164827433,-0.666666667,0.847619048,-0.575838475603231,-1.333333333,0.352941176,1.686274509,5,6.97596532702916,6,0.037037037,0.310344828,-9977.569180394,5565.87209929251,0.0413777469332428,0.0289764756619557,19,9,0.163514578408195,0.260047281323877,0.0925925925925926,0.340686237113735,0.0638297872340425,0.115839243498818,0.0874704491725768,0.3274231678487,0.0547675334909377,0.0606776989755713,0.23758865248227,0.0327029156816391,0.0197005516154452,1.37810945273632,3.5421686746988,0.950617283950617,0.188504233677708,8.72754125702856,0.00276814956331878,636.364776,8.1,0,10.4,15.2,66.3
